date;state;city;confirmed;deaths;order_for_place;is_last;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;region
2020-11-14;BA;Itagibá;506;11;227;True;14452.0;2915205.0;3501.2455;0.0217;Nordeste
2020-11-14;BA;Itagimirim;134;0;135;True;6825.0;2915304.0;1963.3699600000002;0.0;Nordeste
2020-11-14;BA;Itaguaçu da Bahia;83;1;175;True;14542.0;2915353.0;570.7605599999999;0.012;Nordeste
2020-11-14;BA;Itaju do Colônia;268;3;141;True;6596.0;2915403.0;4063.0685299999996;0.0112;Nordeste
2020-11-14;BA;Itajuípe;1094;26;224;True;20398.0;2915502.0;5363.27091;0.0238;Nordeste
2020-11-14;BA;Itamaraju;2476;30;226;True;64455.0;2915601.0;3841.43976;0.0121;Nordeste
2020-11-14;BA;Itamari;301;6;204;True;8003.0;2915700.0;3761.08959;0.0199;Nordeste
2020-11-14;BA;Itambé;547;6;150;True;22754.0;2915809.0;2403.97293;0.011;Nordeste
2020-11-14;BA;Itanagra;39;3;173;True;6436.0;2915908.0;605.96644;0.0769;Nordeste
2020-11-14;BA;Itanhém;599;9;171;True;19316.0;2916005.0;3101.0561199999997;0.015;Nordeste
2020-11-14;BA;Itaparica;425;12;198;True;22337.0;2916104.0;1902.6727;0.0282;Nordeste
2020-11-14;BA;Itapebi;197;5;215;True;10215.0;2916302.0;1928.53647;0.0254;Nordeste
2020-11-14;BA;Itapetinga;2457;46;220;True;76795.0;2916401.0;3199.42705;0.0187;Nordeste
2020-11-14;BA;Itapicuru;767;5;184;True;35883.0;2916500.0;2137.5024399999998;0.0065;Nordeste
2020-11-14;BA;Itapitanga;400;5;185;True;10298.0;2916609.0;3884.2493700000005;0.0125;Nordeste
2020-11-14;BA;Itapé;441;12;211;True;8526.0;2916203.0;5172.41379;0.0272;Nordeste
2020-11-14;BA;Itaquara;105;2;165;True;8347.0;2916708.0;1257.9369800000002;0.019;Nordeste
2020-11-14;BA;Itarantim;347;10;219;True;19843.0;2916807.0;1748.7275100000002;0.0288;Nordeste
2020-11-14;BA;Itatim;173;9;216;True;14539.0;2916856.0;1189.90302;0.052;Nordeste
2020-11-14;BA;Itiruçu;133;2;155;True;12528.0;2916906.0;1061.62197;0.015;Nordeste
2020-11-14;BA;Itiúba;126;2;176;True;36116.0;2917003.0;348.87584;0.0159;Nordeste
2020-11-14;BA;Itororó;1172;17;226;True;20388.0;2917102.0;5748.4795;0.0145;Nordeste
2020-11-14;BA;Ituaçu;82;3;163;True;19030.0;2917201.0;430.89858;0.0366;Nordeste
2020-11-14;BA;Ituberá;697;26;215;True;28740.0;2917300.0;2425.19137;0.0373;Nordeste
2020-11-14;BA;Iuiu;77;1;157;True;11016.0;2917334.0;698.9833;0.013;Nordeste
2020-11-14;BA;Jaborandi;272;4;171;True;8277.0;2917359.0;3286.21481;0.0147;Nordeste
2020-11-14;BA;Jacaraci;55;0;173;True;14850.0;2917409.0;370.37037000000004;0.0;Nordeste
2020-11-14;BA;Jacobina;1404;13;188;True;80635.0;2917508.0;1741.1793899999998;0.0093;Nordeste
2020-11-14;BA;Jaguaquara;2673;23;214;True;54673.0;2917607.0;4889.06773;0.0086;Nordeste
2020-11-14;BA;Jaguarari;688;7;196;True;33746.0;2917706.0;2038.76015;0.0102;Nordeste
2020-11-14;BA;Jaguaripe;427;3;174;True;18981.0;2917805.0;2249.61804;0.007;Nordeste
2020-11-14;BA;Jandaíra;278;4;161;True;10726.0;2917904.0;2591.83293;0.0144;Nordeste
2020-11-14;BA;Jequié;6472;157;232;True;156126.0;2918001.0;4145.36977;0.0243;Nordeste
2020-11-14;BA;Jeremoabo;411;8;155;True;40651.0;2918100.0;1011.04524;0.0195;Nordeste
2020-11-14;BA;Jiquiriçá;162;3;170;True;14557.0;2918209.0;1112.86666;0.0185;Nordeste
2020-11-14;BA;Jitaúna;322;12;188;True;10808.0;2918308.0;2979.27461;0.0373;Nordeste
2020-11-14;BA;João Dourado;441;10;166;True;25402.0;2918357.0;1736.08377;0.0227;Nordeste
2020-11-14;BA;Juazeiro;6551;122;232;True;218162.0;2918407.0;3002.8144199999997;0.0186;Nordeste
2020-11-14;BA;Jucuruçu;374;1;136;True;8988.0;2918456.0;4161.10369;0.0027;Nordeste
2020-11-14;BA;Jussara;218;1;159;True;15262.0;2918506.0;1428.38422;0.0046;Nordeste
2020-11-14;BA;Jussari;218;6;193;True;5768.0;2918555.0;3779.47295;0.0275;Nordeste
2020-11-14;BA;Jussiape;66;0;191;True;5976.0;2918605.0;1104.4176699999998;0.0;Nordeste
2020-11-14;BA;Lafaiete Coutinho;99;3;182;True;3693.0;2918704.0;2680.7473600000003;0.0303;Nordeste
2020-11-14;BA;Lagoa Real;15;0;119;True;15770.0;2918753.0;95.11731;0.0;Nordeste
2020-11-14;BA;Laje;364;7;199;True;24032.0;2918803.0;1514.64714;0.0192;Nordeste
2020-11-14;BA;Lajedinho;28;0;126;True;3758.0;2919009.0;745.07717;0.0;Nordeste
2020-11-14;BA;Lajedo do Tabocal;85;0;198;True;8577.0;2919058.0;991.0225;0.0;Nordeste
2020-11-14;BA;Lajedão;111;0;171;True;3975.0;2918902.0;2792.45283;0.0;Nordeste
2020-11-14;BA;Lamarão;76;0;171;True;8191.0;2919108.0;927.8476400000001;0.0;Nordeste
2020-11-14;BA;Lapão;478;5;174;True;27274.0;2919157.0;1752.58488;0.0105;Nordeste
2020-11-14;BA;Lauro de Freitas;7618;131;236;True;201635.0;2919207.0;3778.1139200000002;0.0172;Nordeste
2020-11-14;BA;Lençóis;161;1;137;True;11499.0;2919306.0;1400.12175;0.0062;Nordeste
2020-11-14;BA;Licínio de Almeida;90;2;201;True;12373.0;2919405.0;727.39029;0.0222;Nordeste
2020-11-14;BA;Livramento de Nossa Senhora;565;3;199;True;46062.0;2919504.0;1226.60762;0.0053;Nordeste
2020-11-14;BA;Luís Eduardo Magalhães;3692;34;213;True;90162.0;2919553.0;4094.85149;0.0092;Nordeste
2020-11-14;BA;Macajuba;249;1;148;True;11332.0;2919603.0;2197.31733;0.004;Nordeste
2020-11-14;BA;Macarani;487;8;168;True;18909.0;2919702.0;2575.49315;0.0164;Nordeste
2020-11-14;BA;Macaúbas;136;2;163;True;50161.0;2919801.0;271.12697000000003;0.0147;Nordeste
2020-11-14;BA;Macururé;142;2;137;True;7787.0;2919900.0;1823.55207;0.0141;Nordeste
2020-11-14;BA;Madre de Deus;1414;17;189;True;21432.0;2919926.0;6597.61105;0.012;Nordeste
2020-11-14;BA;Maetinga;69;3;161;True;2764.0;2919959.0;2496.38205;0.0435;Nordeste
2020-11-14;BA;Maiquinique;67;2;166;True;10206.0;2920007.0;656.47658;0.0299;Nordeste
2020-11-14;BA;Mairi;205;4;173;True;18602.0;2920106.0;1102.03204;0.0195;Nordeste
2020-11-14;BA;Malhada;85;4;157;True;16861.0;2920205.0;504.12194000000005;0.0471;Nordeste
2020-11-14;BA;Malhada de Pedras;153;0;162;True;8359.0;2920304.0;1830.36248;0.0;Nordeste
2020-11-14;BA;Manoel Vitorino;301;8;184;True;13087.0;2920403.0;2299.99236;0.0266;Nordeste
2020-11-14;BA;Mansidão;77;1;164;True;13734.0;2920452.0;560.6524;0.013;Nordeste
2020-11-14;BA;Maracás;825;13;195;True;20393.0;2920502.0;4045.50581;0.0158;Nordeste
2020-11-14;BA;Maragogipe;781;20;200;True;44793.0;2920601.0;1743.5760100000002;0.0256;Nordeste
2020-11-14;BA;Maraú;434;8;195;True;20617.0;2920700.0;2105.05893;0.0184;Nordeste
2020-11-14;BA;Marcionílio Souza;49;4;169;True;10380.0;2920809.0;472.06165999999996;0.0816;Nordeste
2020-11-14;BA;Mascote;222;5;171;True;13717.0;2920908.0;1618.42969;0.0225;Nordeste
2020-11-14;BA;Mata de São João;731;14;196;True;47126.0;2921005.0;1551.1607199999999;0.0192;Nordeste
2020-11-14;BA;Matina;12;1;160;True;12283.0;2921054.0;97.696;0.0833;Nordeste
2020-11-14;BA;Medeiros Neto;1207;26;224;True;22716.0;2921104.0;5313.435460000001;0.0215;Nordeste
2020-11-14;BA;Miguel Calmon;217;4;179;True;25894.0;2921203.0;838.03198;0.0184;Nordeste
2020-11-14;BA;Milagres;111;2;164;True;10893.0;2921302.0;1019.0030300000001;0.018;Nordeste
2020-11-14;BA;Mirangaba;135;2;179;True;18474.0;2921401.0;730.75674;0.0148;Nordeste
2020-11-14;BA;Mirante;125;3;206;True;8447.0;2921450.0;1479.81532;0.024;Nordeste
2020-11-14;BA;Monte Santo;292;6;178;True;49278.0;2921500.0;592.55652;0.0205;Nordeste
